Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,12,15,0,15000,African Scops-Owl,afsowl1,0.7342,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001202.wav,12
2,Spectrogram 1,1,21,24,0,15000,African Scops-Owl,afsowl1,0.9936,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001202.wav,21
3,Spectrogram 1,1,30,33,0,15000,African Scops-Owl,afsowl1,0.8479,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001202.wav,30
4,Spectrogram 1,1,39,42,0,15000,African Scops-Owl,afsowl1,0.9715,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001202.wav,39
1,Spectrogram 1,1,0,3,0,15000,African Scops-Owl,afsowl1,0.7255,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001502.wav,0
2,Spectrogram 1,1,15,18,0,15000,African Scops-Owl,afsowl1,0.4204,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001502.wav,15
3,Spectrogram 1,1,24,27,0,15000,African Scops-Owl,afsowl1,0.524,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001502.wav,24
5,Spectrogram 1,1,42,45,0,15000,African Scops-Owl,afsowl1,0.151,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001502.wav,42
1,Spectrogram 1,1,33,36,0,15000,African Scops-Owl,afsowl1,0.5096,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_001802.wav,33
1,Spectrogram 1,1,39,42,0,15000,African Scops-Owl,afsowl1,0.5577,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002002.wav,39
2,Spectrogram 1,1,39,42,0,15000,African Scops-Owl,afsowl1,0.118,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002102.wav,39
1,Spectrogram 1,1,12,15,0,15000,African Scops-Owl,afsowl1,0.2752,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002302.wav,12
1,Spectrogram 1,1,6,9,0,15000,African Scops-Owl,afsowl1,0.3482,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002402.wav,6
2,Spectrogram 1,1,15,18,0,15000,African Scops-Owl,afsowl1,0.1153,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002402.wav,15
3,Spectrogram 1,1,24,27,0,15000,African Scops-Owl,afsowl1,0.1623,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002402.wav,24
4,Spectrogram 1,1,27,30,0,15000,African Scops-Owl,afsowl1,0.2434,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002402.wav,27
5,Spectrogram 1,1,36,39,0,15000,African Scops-Owl,afsowl1,0.4498,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002402.wav,36
6,Spectrogram 1,1,42,45,0,15000,African Scops-Owl,afsowl1,0.3091,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002402.wav,42
2,Spectrogram 1,1,18,21,0,15000,African Scops-Owl,afsowl1,0.3293,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002502.wav,18
6,Spectrogram 1,1,39,42,0,15000,African Scops-Owl,afsowl1,0.1422,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002502.wav,39
9,Spectrogram 1,1,54,57,0,15000,African Scops-Owl,afsowl1,0.3796,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002502.wav,54
1,Spectrogram 1,1,0,3,0,15000,African Scops-Owl,afsowl1,0.3587,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002602.wav,0
2,Spectrogram 1,1,42,45,0,15000,African Scops-Owl,afsowl1,0.2501,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002602.wav,42
3,Spectrogram 1,1,45,48,0,15000,African Scops-Owl,afsowl1,0.2818,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002602.wav,45
4,Spectrogram 1,1,48,51,0,15000,African Scops-Owl,afsowl1,0.2576,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002602.wav,48
5,Spectrogram 1,1,54,57,0,15000,African Scops-Owl,afsowl1,0.4393,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002602.wav,54
1,Spectrogram 1,1,0,3,0,15000,African Scops-Owl,afsowl1,0.9332,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002702.wav,0
2,Spectrogram 1,1,6,9,0,15000,African Scops-Owl,afsowl1,0.8881,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002702.wav,6
3,Spectrogram 1,1,15,18,0,15000,African Scops-Owl,afsowl1,0.4604,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002702.wav,15
2,Spectrogram 1,1,0,3,0,15000,African Scops-Owl,afsowl1,0.1576,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_002802.wav,0
1,Spectrogram 1,1,3,6,0,15000,African Scops-Owl,afsowl1,0.1298,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003002.wav,3
2,Spectrogram 1,1,9,12,0,15000,African Scops-Owl,afsowl1,0.4915,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003002.wav,9
3,Spectrogram 1,1,18,21,0,15000,African Scops-Owl,afsowl1,0.5307,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003002.wav,18
6,Spectrogram 1,1,36,39,0,15000,African Scops-Owl,afsowl1,0.167,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003002.wav,36
1,Spectrogram 1,1,0,3,0,15000,African Scops-Owl,afsowl1,0.3897,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003102.wav,0
2,Spectrogram 1,1,18,21,0,15000,African Scops-Owl,afsowl1,0.8545,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003102.wav,18
3,Spectrogram 1,1,24,27,0,15000,African Scops-Owl,afsowl1,0.127,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003102.wav,24
5,Spectrogram 1,1,42,45,0,15000,African Scops-Owl,afsowl1,0.2876,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_003102.wav,42
2,Spectrogram 1,1,9,12,0,15000,Barn Owl,brnowl,0.9409,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_004702.wav,9
3,Spectrogram 1,1,12,15,0,15000,Barn Owl,brnowl,0.335,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_004702.wav,12
4,Spectrogram 1,1,18,21,0,15000,Barn Owl,brnowl,0.8312,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_004702.wav,18
1,Spectrogram 1,1,0,3,0,15000,African Scops-Owl,afsowl1,0.6455,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_005902.wav,0
2,Spectrogram 1,1,18,21,0,15000,African Scops-Owl,afsowl1,0.3456,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_005902.wav,18
1,Spectrogram 1,1,36,39,0,15000,African Scops-Owl,afsowl1,0.1057,BurkinaFaso/Site_10CS_25/Data/10CS_25_20251231_010202.wav,36
